iteration_count	ifmap_h	ifmap_w	k	c_in	f_out	filter_count	channel_count	valid	dram	weight	psum	ifmap	pe_util	latency	sim_time
0	4	4	1	1	1	7	9	PASS	95	189	32	32	0.25	42000	23
1	4	4	1	2	1	7	9	PASS	111	189	32	64	0.26	42000	8
2	4	4	1	4	1	7	9	PASS	143	189	32	128	0.29	42000	8
3	4	4	1	8	1	7	9	PASS	207	189	32	256	0.33	42000	9
4	4	4	1	16	1	7	9	PASS	398	315	64	512	0.26	59000	10
5	4	4	1	32	1	7	9	PASS	780	567	128	1024	0.2	93000	13
6	4	4	1	64	1	7	9	PASS	1544	1071	256	2048	0.16	161000	21
7	4	4	1	128	1	7	9	PASS	3009	1953	480	4096	0.16	280000	37
8	4	4	1	256	1	7	9	PASS	5939	3717	928	8192	0.15	518000	68
9	4	4	1	512	1	7	9	PASS	11799	7245	1824	16384	0.15	994000	133
10	4	4	1	1024	1	7	9	PASS	23582	14427	3648	32768	0.15	1963000	264
11	4	4	1	1	2	7	9	PASS	111	189	64	32	0.26	42000	7
12	4	4	1	2	2	7	9	PASS	127	189	64	64	0.29	42000	7
13	4	4	1	4	2	7	9	PASS	159	189	64	128	0.34	42000	7
14	4	4	1	8	2	7	9	PASS	223	189	64	256	0.43	42000	8
15	4	4	1	16	2	7	9	PASS	414	315	128	512	0.37	59000	10
16	4	4	1	32	2	7	9	PASS	796	567	256	1024	0.32	93000	14
17	4	4	1	64	2	7	9	PASS	1560	1071	512	2048	0.28	161000	23
18	4	4	1	128	2	7	9	PASS	3025	1953	960	4096	0.29	280000	40
19	4	4	1	256	2	7	9	PASS	5955	3717	1856	8192	0.29	518000	72
20	4	4	1	512	2	7	9	PASS	11815	7245	3648	16384	0.29	994000	143
21	4	4	1	1024	2	7	9	PASS	23598	14427	7296	32768	0.29	1963000	285
22	4	4	1	1	4	7	9	PASS	143	189	128	32	0.29	42000	7
23	4	4	1	2	4	7	9	PASS	159	189	128	64	0.35	42000	7
