iteration_count	ifmap_h	ifmap_w	k	c_in	f_out	filter_count	channel_count	valid	dram	weight	psum	ifmap	pe_util	latency	sim_time
0	19200	19200	1	32	32	7	9	PASS	7660	2583	25600	19200	0.81	2045000	335
1	76800	76800	1	32	32	7	9	PASS	26860	2583	102400	76800	0.81	8045000	1207
2	172800	172800	1	32	32	7	9	PASS	58860	2583	230400	172800	0.81	18045000	2740
3	307200	307200	1	32	32	7	9	PASS	103660	2583	409600	307200	0.81	32045000	4896
4	480000	480000	1	32	32	7	9	PASS	161260	2583	640000	480000	0.81	50045000	7715
5	691200	691200	1	32	32	7	9	PASS	231660	2583	921600	691200	0.81	72045000	11039
6	940800	940800	1	32	32	7	9	PASS	314860	2583	1254400	940800	0.81	98045000	15040
7	1228800	1228800	1	32	32	7	9	PASS	410860	2583	1638400	1228800	0.81	128045000	19701
8	1555200	1555200	1	32	32	7	9	PASS	519660	2583	2073600	1555200	0.81	162045000	25014
9	1920000	1920000	1	32	32	7	9	PASS	641260	2583	2560000	1920000	0.81	200045000	31255
10	2323200	2323200	1	32	32	7	9	PASS	775660	2583	3097600	2323200	0.81	242045000	37616
11	2764800	2764800	1	32	32	7	9	PASS	922860	2583	3686400	2764800	0.81	288045000	44582
12	3244800	3244800	1	32	32	7	9	PASS	1082860	2583	4326400	3244800	0.81	338045000	53842
13	3763200	3763200	1	32	32	7	9	PASS	1255660	2583	5017600	3763200	0.81	392045000	60991
14	4320000	4320000	1	32	32	7	9	PASS	1441260	2583	5760000	4320000	0.81	450045000	70386
15	4915200	4915200	1	32	32	7	9	PASS	1639660	2583	6553600	4915200	0.81	512045000	80192
16	5548800	5548800	1	32	32	7	9	PASS	1850860	2583	7398400	5548800	0.81	578045000	91014
17	6220800	6220800	1	32	32	7	9	PASS	2074860	2583	8294400	6220800	0.81	648045000	101281
18	6931200	6931200	1	32	32	7	9	PASS	2311660	2583	9241600	6931200	0.81	722045000	114121
19	7680000	7680000	1	 32	32	7	9	PASS	2561260	2583	10240000	7680000	0.81	800045000	126120
20	8467200	8467200	1	32	32	7	9	PASS	2823660	2583	11289600	8467200	0.81	882045000	139692
21	9292800	9292800	1	32	32	7	9	PASS	3098860	2583	12390400	9292800	0.81	968045000	155272
22	10156800	10156800	1	32	32	7	9	PASS	3386860	2583	13542400	10156800	0.81	1058045000	167563
23	11059200	11059200	1	32	32	7	9	PASS	3687660	2583	14745600	11059200	0.81	1152045000	183939
24	12000000	12000000	1	32	32	7	9	PASS	4001260	2583	16000000	12000000	0.81	1250045000	198700
25	12979200	12979200	1	32	32	7	9	PASS	4327660	2583	17305600	12979200	0.81	1352045000	215163
26	13996800	13996800	1	32	32	7	9	PASS	4666860	2583	18662400	13996800	0.81	1458045000	233980
27	15052800	15052800	1	32	32	7	9	PASS	5018860	2583	20070400	15052800	0.81	1568045000	250930
28	16147200	16147200	1	32	32	7	9	PASS	5383660	2583	21529600	16147200	0.81	1682045000	269905
29	17280000	17280000	1	32	32	7	9	PASS	5761260	2583	23040000	17280000	0.81	1800045000	291477
