ifmap_h,ifmap_w,kernel,c_in,f_out,arch_filter_count,arch_channel_count,valid,dram,weight,psum,ifmap,pe_util,latency,sim_time
18,18,3,1,2,12,27,PASS,1160,972,1664,648,0.15,386000,358
289,1,1,16,1,32,18,PASS,5489,1728,578,9248,0.063,324000,449
20,20,1,8,4,9,9,PASS,4881,243,3200,6400,0.41,426000,325
27,27,3,3,4,32,18,PASS,5839,2880,13300,4374,0.13,1548000,424
52,52,3,1,1,12,27,PASS,5528,972,7700,5408,0.064,2834000,380
30,30,3,8,1,9,9,PASS,8632,1377,14224,14400,0.12,7356000,600
26,26,3,32,2,9,9,PASS,25376,5265,81024,43264,0.22,22020000,1048
48,48,3,8,2,12,27,PASS,23636,2268,30728,36864,0.16,7054000,949
47,47,3,2,8,32,18,PASS,21194,1728,50040,8836,0.28,2329000,563
59,59,3,1,16,32,18,PASS,56041,1728,159600,6962,0.27,3625000,1317
529,1,1,64,32,9,9,PASS,53376,5265,270848,169280,0.79,16985000,1398
111,111,1,4,1,32,18,PASS,62181,1728,24642,98568,0.0079,12356000,1719
169,1,1,64,256,9,9,PASS,72872,37665,692224,324480,0.87,39465000,2362
14,14,1,256,8,32,18,PASS,60384,17856,47040,100352,0.24,2989000,1039
40,40,3,4,1,32,18,PASS,8996,2880,7524,12800,0.055,3316000,463
19600,1,1,3,2,12,27,PASS,98324,972,78400,117600,0.019,19644000,2726
529,1,1,256,2,12,27,PASS,139722,6804,21160,270848,0.16,5343000,2766
40,40,3,16,16,9,9,PASS,51296,5265,801344,76800,0.89,51616000,2566
97,97,1,3,8,32,18,PASS,104075,1728,150544,56454,0.043,9444000,2278
167,167,3,2,2,32,18,PASS,110804,1728,164670,111556,0.073,28249000,4205
80,80,1,32,4,12,27,PASS,231048,1620,102400,409600,0.2,12845000,4612
75,75,1,16,2,12,27,PASS,101574,972,22500,180000,0.1,5669000,1706
23104,1,1,2,8,9,9,PASS,231121,243,369664,92416,0.2,23130000,4712
173,173,1,4,4,9,9,PASS,239513,243,239432,239432,0.2,29955000,4690
104,104,1,16,1,32,18,PASS,184448,1728,21632,346112,0.029,10851000,3562
24964,1,1,8,1,32,18,PASS,225252,1728,49928,399424,0.014,24999000,5497
12769,1,1,1,2,9,9,PASS,38388,243,51076,25538,0.025,12795000,718
90,90,3,3,1,32,18,PASS,33196,2880,39424,48600,0.034,16416000,1497
112,112,3,8,4,32,18,PASS,151056,5184,442640,200704,0.13,50456000,6392
37,37,3,1,128,9,9,PASS,159384,2511,488320,21904,0.95,20775000,3209
81,81,3,1,4,12,27,PASS,31849,972,76156,13122,0.13,6749000,883
5329,1,1,8,2,9,9,PASS,53371,243,21316,85264,0.2,5355000,764
62,62,3,16,32,12,27,PASS,182536,11988,1543680,246016,0.78,69512000,8350
61,61,3,4,4,12,27,PASS,29456,1620,71508,29768,0.23,7600000,890
14,14,1,64,32,9,9,PASS,21408,5265,100352,62720,0.79,6329000,450
149,149,3,4,8,12,27,PASS,262324,1620,873768,177608,0.44,44736000,7307
88,88,3,3,1,12,27,PASS,30952,972,22532,46464,0.1,7946000,879
12,12,3,32,128,12,27,PASS,56612,78732,350720,55296,0.93,18674000,1787
136,136,3,2,16,9,9,PASS,324612,729,1453632,110976,0.89,74312000,7352
28,28,3,4,512,12,27,PASS,377112,56052,1837056,137984,0.65,68356000,11096
21,21,3,3,128,32,18,PASS,52139,9792,250496,6615,0.73,3666000,1204
